game,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,players_right_now
Pizza Tower,2023-01-26,4529,19807,227,20034,96.39,"3,101"
Resident Evil 4,2023-03-24,168191,61752,1616,63368,95.75,"46,289"
The Murder of Sonic the Hedgehog,2023-03-31,15543,12643,213,12856,95.54,618
Pineapple on pizza,2023-03-28,1415,11717,209,11926,95.39,101
Hi-Fi RUSH,2023-01-25,6132,14152,324,14476,95.09,630
东北之夏,2023-01-09,8672,8891,165,9056,95.08,62
Crab Champions,2023-04-01,8564,5129,81,5210,94.76,"4,142"
Papa's Freezeria Deluxe,2023-03-31,1227,1832,20,1852,93.84,661
A Space for the Unbound,2023-01-19,338,1917,27,1944,93.64,63
Handshakes,2023-01-13,195,1166,10,1176,93.3,8
候鸟,2023-01-11,162,1149,12,1161,93.12,19
Симулятор Побега от Военкомата,2023-04-03,775,1995,42,2037,93.1,127
I commissioned some bees 0,2023-01-12,374,1733,36,1769,92.92,21
Spin Rhythm XD,2023-03-14,313,2909,86,2995,92.89,57
OCTOPATH TRAVELER II,2023-02-24,17008,4403,158,4561,92.85,"3,206"
Boneraiser Minions,2023-03-09,2029,3093,97,3190,92.82,332
Bloody Hell,2023-01-27,395,1308,22,1330,92.8,60
DREDGE,2023-03-30,12686,5632,234,5866,92.63,"7,523"
Your Only Move Is HUSTLE,2023-02-02,3405,5664,245,5909,92.5,745
Touhou Hero of Ice Fairy,2023-02-25,573,736,8,744,92.24,69
Your Turn To Die -Death Game By Majority- ,2023-02-20,471,616,4,620,92.23,39
DR LIVESEY ROM AND DEATH EDITION,2023-02-13,818,4397,221,4618,91.65,43
Half-Life: MMod,2023-03-14,1027,1222,39,1261,91.44,90
Hogwarts Legacy,2023-02-10,879308,179479,14684,194163,91.35,"34,741"
Big Ambitions,2023-03-10,10961,3976,218,4194,91.17,"2,913"
Apewar,2023-03-24,361,1313,50,1363,91.06,91
Meg's Monster,2023-03-02,195,484,7,491,91.06,18
The Test: Secrets of the Soul,2023-02-20,16,527,9,536,91.04,2
Barotrauma,2023-03-13,19655,41677,3286,44963,90.99,"7,552"
觅长生,2023-01-13,26379,17906,1323,19229,90.91,"3,942"
Birth,2023-02-17,183,442,7,449,90.74,23
Contraband Police,2023-03-08,8124,4519,282,4801,90.69,"1,558"
Bing in Wonderland,2023-01-13,977,1184,48,1232,90.69,97
Luck be a Landlord,2023-01-06,2544,6625,459,7084,90.5,408
Durka Simulator,2023-03-21,48,1598,80,1678,90.4,3
 Dead Space,2023-01-27,30925,21792,1820,23612,90.25,761
PARANORMASIGHT: The Seven Mysteries of Honjo,2023-03-08,582,654,24,678,89.93,124
Patch Quest,2023-03-02,2356,1357,72,1429,89.92,119
Vertigo 2,2023-03-30,295,497,15,512,89.88,78
Larcin Lazer,2023-01-24,38,223,1,224,89.85,1
Fallen Hero: Retribution,2023-02-02,379,242,2,244,89.79,11
Scarlet Maiden,2023-01-27,736,895,42,937,89.72,66
Landfall Archives,2023-03-31,1247,695,29,724,89.66,155
Elong Plug,2023-02-25,34,231,2,233,89.63,2
The Symbiant,2023-02-02,120,284,5,289,89.51,4
Shogun Showdown: Prologue,2023-04-04,590,274,5,279,89.37,82
流光易逝的夏末 - Fleeting Summer's End,2023-01-06,22,165,0,165,89.27,0
Lake Haven - Chrysalis,2023-01-18,24,246,4,250,89.23,0
The Legend of Heroes: Trails to Azure,2023-03-14,884,183,1,184,89.18,318
Half-Life 2: VR Mod - Episode One,2023-03-17,193,237,4,241,89.08,39
q.u.q.,2023-02-27,24,283,7,290,88.96,8
The Last Spell,2023-03-09,6755,7268,659,7927,88.89,"1,837"
EMPTY SHELL: PROLOGUE,2023-01-06,130,628,31,659,88.88,4
Sifu,2023-03-28,3189,1727,125,1852,88.76,960
方寸文明,2023-01-01,1414,787,45,832,88.7,111
Crimson Snow,2023-03-29,103,758,43,801,88.67,9
通神榜 Noobs Want to Live,2023-02-14,8622,3135,263,3398,88.61,641
스테퍼 케이스: 초능력 추리 어드벤처,2023-03-10,134,242,6,248,88.54,50
Ages of Conflict: World War Simulator,2023-02-17,312,442,20,462,88.47,183
RHYTHM SPROUT,2023-02-01,204,311,11,322,88.4,7
Mortal Sin,2023-03-15,191,280,9,289,88.38,14
Figment 2: Creed Valley,2023-03-09,62,183,3,186,88.37,3
Locke(d),2023-01-23,30,470,23,493,88.33,1
Cultivation Story: Reincarnation,2023-01-30,1626,1392,104,1496,88.28,157
Gorilla Tag,2023-01-01,1679,26120,2876,28996,88.26,"1,154"
SpongeBob SquarePants: The Cosmic Shake,2023-01-31,1949,1203,88,1291,88.19,43
Can of Wormholes,2023-03-24,165,138,1,139,88.15,49
Love Love School Days,2023-02-06,277,316,13,329,88.01,21
Die in the Dungeon PROLOGUE,2023-01-12,379,311,13,324,87.92,16
Season,2023-01-31,461,747,50,797,87.88,24
Halls of Torment Prelude,2023-03-09,1080,597,37,634,87.83,129
挂机神话,2023-04-07,1142,1326,107,1433,87.76,480
Demons Roots,2023-01-14,612,575,36,611,87.72,54
24 Killers,2023-03-09,29,105,0,105,87.72,1
Demonologist,2023-03-27,8806,2737,259,2996,87.64,"4,463"
Mr. Saitou,2023-03-23,61,214,7,221,87.62,1
Aliens After Ava,2023-01-13,14,119,1,120,87.56,0
The Light Brigade,2023-02-22,156,445,26,471,87.51,30
SkyIsland,2023-02-15,216,478,29,507,87.49,9
HOPE LEFT ME,2023-03-10,14,150,3,153,87.49,0
Creepy Tale 3: Ingrid Penance,2023-03-09,121,165,4,169,87.48,22
VOYAGER,2023-03-25,9,116,1,117,87.46,1
Plasma,2023-03-30,358,161,4,165,87.36,60
NOeSIS Ⅱ-人间无常,2023-02-26,17,113,1,114,87.35,1
memories,2023-02-03,38,376,21,397,87.34,2
Pleh!,2023-03-17,124,315,16,331,87.3,7
Sun Haven,2023-03-11,12706,5357,587,5944,87.19,"4,651"
Atelier Ryza 3: Alchemist of the End & the Secret Key,2023-03-24,7162,717,54,771,87.19,"2,029"
Above Snakes: Prologue,2023-03-24,3672,1116,95,1211,87.18,102
Metroplex Zero,2023-03-31,16,91,0,91,87.18,0
SimRail - The Railway Simulator,2023-01-13,1914,1253,110,1363,87.16,419
SpunkStock: Music Festival,2023-01-26,277,165,5,170,87.05,4
Farlanders,2023-01-17,251,313,17,330,87.03,9
Clash: Artifacts of Chaos,2023-03-09,148,306,17,323,86.89,10
Glory & Miserable Survivors DX,2023-03-16,776,390,26,416,86.63,117
